<UNK> 1.0	SPN
KHẤT 1.0	KH AA TC
KHANH 1.0	KH A NGZ
SÚY 1.0	S W I
NONG 1.0	N O NGZ
LỘNG 1.0	L OO NGZ
LẪY 1.0	L AA IZ
CHỦNG 1.0	CH U NGZ
RÓN 1.0	R O NZ
RÉN 1.0	R E NZ
THÀO 1.0	TH A UZ
CẮM 1.0	K AW MZ
LẮT 1.0	L AW TC
GIUN 1.0	D U NZ
RÁY 1.0	R A IZ
CHÍCH 1.0	CH I KC
THẮC 1.0	TH AW KC
RÈN 1.0	R E NZ
HUỶ 1.0	H W I
TOÀ 1.0	T W A
PHỤNG 1.0	PH U NGZ
BÊNH 1.0	B EE NGZ
CHỎM 1.0	CH O MZ
THIÊM 1.0	TH IE MZ
MÁO 1.0	M A UZ
ẮP 1.0	AW PC
ĐỆM 1.0	DD EE MZ
ĐƠ 1.0	DD OW
KHOẺ 1.0	KH W E
XOÁ 1.0	S W A
NHÀM 1.0	NH A MZ
MỊN 1.0	M I NZ
TRỢN 1.0	TR OW NZ
CUỐC 1.0	K UO KC
CHỚI 1.0	CH OW IZ
BĂN 1.0	B AW NZ
KHOĂN 1.0	KH W AW NZ
HỂ 1.0	H EE
PHAN 1.0	PH A NZ
TOẢ 1.0	T W A
XÍT 1.0	S I TC
KHIÊM 1.0	KH IE MZ
TỘT 1.0	T OO TC
TỦI 1.0	T U IZ
MỎ 1.0	M O
TRIỆT 1.0	TR IE TC
GIÃ 1.0	D A
NẴNG 1.0	N AW NGZ
HUYỆT 1.0	H W IE TC
DẰN 1.0	D AW NZ
KHÒ 1.0	KH O
KHÈ 1.0	KH E
BỞ 1.0	B OW
DUỖI 1.0	D UO IZ
RU 1.0	R U
RÚ 1.0	R U
NHỐT 1.0	NH OO TC
TỤNG 1.0	T U NGZ
TỐP 1.0	T OO PC
CŨI 1.0	K U IZ
THÓT 1.0	TH O TC
THIỀU 1.0	TH IE UZ
NEM 1.0	N E MZ
NGÓNG 1.0	NG O NGZ
BỪA 1.0	B WA
ONG 1.0	O NGZ
VON 1.0	V O NZ
GOM 1.0	G O MZ
THÊU 1.0	TH EE UZ
MẺ 1.0	M E
NGOA 1.0	NG W A
BỒN 1.0	B OO NZ
KIÊU 1.0	K IE UZ
MẨN 1.0	M AA NZ
DẲNG 1.0	D AW NGZ
GIẬM 1.0	D AA MZ
NHẬM 1.0	NH AA MZ
ƯỚP 1.0	WA PC
DẢI 1.0	D A IZ
XƯỞNG 1.0	S WA NGZ
NẺO 1.0	N E UZ
TẠT 1.0	T A TC
XOÁY 1.0	S W A IZ
KHA 1.0	KH A
NGƯỞNG 1.0	NG WA NGZ
OĂM 1.0	W AW MZ
QUÌ 1.0	K W I
MI 1.0	M I
KHOÉT 1.0	KH W E TC
XỐC 1.0	S OO KC
HÁM 1.0	H A MZ
TỤY 1.0	T W I
LÚNG 1.0	L U NGZ
TÚNG 1.0	T U NGZ
XOÈ 1.0	S W E
GIẤM 1.0	D AA MZ
GỘI 1.0	G OO IZ
NẾP 1.0	N EE PC
TRẦU 1.0	TR AA UZ
MUỐNG 1.0	M UO NGZ
GIEO 1.0	D E UZ
MỒNG 1.0	M OO NGZ
THỎM 1.0	TH O MZ
LUỒN 1.0	L UO NZ
GỞI 1.0	G OW IZ
GÔN 1.0	G OO NZ
GỐM 1.0	G OO MZ
LANH 1.0	L A NGZ
NGHĨNH 1.0	NG I NGZ
VỪNG 1.0	V UW NGZ
NGẶT 1.0	NG AW TC
TÁT 1.0	T A TC
GÀU 1.0	G A UZ
LIÊM 1.0	L IE MZ
RẮM 1.0	R AW MZ
RẢO 1.0	R A UZ
VỊN 1.0	V I NZ
BANG 1.0	B A NGZ
LÍ 1.0	L I
XÁT 1.0	S A TC
NGHẼN 1.0	NG E NZ
ỚN 1.0	OW NZ
VÀNH 1.0	V A NGZ
RÀNH 1.0	R A NGZ
THE 1.0	TH E
ĐU 1.0	DD U
RƯỞI 1.0	R WA IZ
DỀNH 1.0	D EE NGZ
BỢ 1.0	B OW
CHINH 1.0	CH I NGZ
GÃY 1.0	G A IZ
HE 1.0	H E
CHẤU 1.0	CH AA UZ
NHỈNH 1.0	NH I NGZ
BÚNG 1.0	B U NGZ
NGUYỀN 1.0	NG W IE NZ
TUỒNG 1.0	T UO NGZ
NGAN 1.0	NG A NZ
BẴNG 1.0	B AW NGZ
MƯỢN 1.0	M WA NZ
THEN 1.0	TH E NZ
CẠY 1.0	K A IZ
NGÙI 1.0	NG U IZ
TƯỚC 1.0	T WA KC
HĂNG 1.0	H AW NGZ
VẤP 1.0	V AA PC
GIẾNG 1.0	G IE NGZ
NIÊM 1.0	N IE MZ
BẠ 1.0	B A
ỐP 1.0	OO PC
GHIỀN 1.0	G IE NZ
THỬA 1.0	TH WA
VÍT 1.0	V I TC
CHẢI 1.0	CH A IZ
ĐÙM 1.0	DD U MZ
XIẾT 1.0	S IE TC
PHỒNG 1.0	PH OO NGZ
THỀU 1.0	TH EE UZ
THÍA 1.0	TH IE
VẸT 1.0	V E TC
DỜI 1.0	D OW IZ
VỜ 1.0	V OW
CHIỀN 1.0	CH IE NZ
MIẾU 1.0	M IE UZ
NHIẾC 1.0	NH IE KC
RẨY 1.0	R AA IZ
THÙNG 1.0	TH U NGZ
CƯNG 1.0	K UW NGZ
DỬNG 1.0	D UW NGZ
XÀO 1.0	S A UZ
LẦU 1.0	L AA UZ
DỘT 1.0	D OO TC
NHÚT 1.0	NH U TC
GÁO 1.0	G A UZ
NHỘN 1.0	NH OO NZ
DIỆM 1.0	D IE MZ
NGOÁC 1.0	NG W A KC
BỔN 1.0	B OO NZ
CẮC 1.0	K AW KC
TOẢN 1.0	T W A NZ
BỀNH 1.0	B EE NGZ
CÊ 1.0	K EE
HỖN 1.0	H OO NZ
GIÙM 1.0	D U MZ
NỚT 1.0	N OW TC
HỢI 1.0	H OW IZ
QUỊ 1.0	K W I
SỮNG 1.0	S UW NGZ
ĐỜ 1.0	DD OW
PHỦI 1.0	PH U IZ
DẶM 1.0	D AW MZ
SIM 1.0	S I MZ
ĐÔN 1.0	DD OO NZ
HÂM 1.0	H AA MZ
GÀNH 1.0	G A NGZ
SÚP 1.0	S U PC
RÊ 1.0	R EE
MẦM 1.0	M AA MZ
CÔN 1.0	K OO NZ
KẾCH 1.0	K EE KC
LÂNG 1.0	L AA NGZ
ÙA 1.0	W A
BỪNG 1.0	B UW NGZ
HỞI 1.0	H OW IZ
MƯỚP 1.0	M WA PC
THẢNH 1.0	TH A NGZ
THƠI 1.0	TH OW IZ
ĐOM 1.0	DD O MZ
ĐÓM 1.0	DD O MZ
BÁI 1.0	B A IZ
CHIỂU 1.0	CH IE UZ
KHÉP 1.0	KH E PC
BỰ 1.0	B UW
GIỒNG 1.0	D OO NGZ
TRÔM 1.0	TR OO MZ
RUỐC 1.0	R UO KC
TẠNG 1.0	T A NGZ
TRỨ 1.0	TR UW
HAO 1.0	H A UZ
TRẰN 1.0	TR AW NZ
HỐC 1.0	H OO KC
THẤU 1.0	TH AA UZ
XỊT 1.0	S I TC
XÍ 1.0	S I
CẶM 1.0	K AW MZ
CỤI 1.0	K U IZ
CHẠNH 1.0	CH A NGZ
NGẤU 1.0	NG AA UZ
NGHIẾN 1.0	NG IE NZ
MY 1.0	M I
MÉ 1.0	M E
SE 1.0	S E
BÉN 1.0	B E NZ
NHỊ 1.0	NH I
XƠ 1.0	S OW
CỒNG 1.0	K OO NGZ
KỀNH 1.0	K EE NGZ
TRỚ 1.0	TR OW
TRÊU 1.0	TR EE UZ
GÁP 1.0	G A PC
THUỞ 1.0	TH W OW
MẨU 1.0	M AA UZ
NHÚN 1.0	NH U NZ
SỘ 1.0	S OO
GƯƠM 1.0	G WA MZ
GẢ 1.0	G A
THOĂN 1.0	TH W AW NZ
THOẮT 1.0	TH W AW TC
SANH 1.0	S A NGZ
NGẠN 1.0	NG A NZ
NHẠI 1.0	NH A IZ
DIÊN 1.0	D IE NZ
KHỐ 1.0	KH OO
LỮNG 1.0	L UW NGZ
THỮNG 1.0	TH UW NGZ
QUẰN 1.0	K W AW NZ
QUẠI 1.0	K W A IZ
LỊM 1.0	L I MZ
SỬNG 1.0	S UW NGZ
CỒ 1.0	K OO
GIŨA 1.0	D W A
THẢNG 1.0	TH A NGZ
THỐT 1.0	TH OO TC
NGẠO 1.0	NG A UZ
MẪN 1.0	M AA NZ
LẺN 1.0	L E NZ
PHỔI 1.0	PH OO IZ
ĐỜM 1.0	DD OW MZ
KỈNH 1.0	K I NGZ
MÃNH 1.0	M A NGZ
RỊA 1.0	R IE
NÁM 1.0	N A MZ
ÁY 1.0	A IZ
NÁY 1.0	N A IZ
VÙI 1.0	V U IZ
SẦM 1.0	S AA MZ
THỚI 1.0	TH OW IZ
XUYẾN 1.0	S W IE NZ
RÁN 1.0	R A NZ
VỈ 1.0	V I
BỚI 1.0	B OW IZ
QUỲ 1.0	K W I
DẠT 1.0	D A TC
DIỀU 1.0	D IE UZ
NẦN 1.0	N AA NZ
SÒNG 1.0	S O NGZ
GIƯƠNG 1.0	D WA NGZ
ỚT 1.0	OW TC
TRÈO 1.0	TR E UZ
TRỌT 1.0	TR O TC
CHỒN 1.0	CH OO NZ
MỈA 1.0	M IE
NGẪU 1.0	NG AA UZ
KHỀU 1.0	KH EE UZ
MẬN 1.0	M AA NZ
VẨY 1.0	V AA IZ
MỀN 1.0	M EE NZ
CẰM 1.0	K AW MZ
VO 1.0	V O
QUỴ 1.0	K W I
RỌI 1.0	R O IZ
TẨN 1.0	T AA NZ
THÃI 1.0	TH A IZ
ĐỘN 1.0	DD OO NZ
LẸ 1.0	L E
QUỜ 1.0	K W OW
SÀM 1.0	S A MZ
NGƠ 1.0	NG OW
KY 1.0	K I
RÁT 1.0	R A TC
TƯNG 1.0	T UW NGZ
MÒN 1.0	M O NZ
MU 1.0	M U
THOẠT 1.0	TH W A TC
BÍNH 1.0	B I NGZ
TRỀ 1.0	TR EE
VUN 1.0	V U NZ
GẶT 1.0	G AW TC
LỴ 1.0	L I
TỊNH 1.0	T I NGZ
UỂ 1.0	W EE
OẢI 1.0	W A IZ
MỌN 1.0	M O NZ
SUN 1.0	S U NZ
ẦM 1.0	AA MZ
HÃO 1.0	H A UZ
TỤT 1.0	T U TC
TONG 1.0	T O NGZ
NHỤC 1.0	NH U KC
XẸP 1.0	S E PC
AM 1.0	A MZ
MIỀU 1.0	M IE UZ
LỒI 1.0	L OO IZ
TOE 1.0	T W E
VÊ 1.0	V EE
TỬU 1.0	T UW UZ
NHỤY 1.0	NH W I
TRÌU 1.0	TR I UZ
MƯỚT 1.0	M WA TC
XIẾC 1.0	S IE KC
CƯU 1.0	K UW UZ
GIỀNG 1.0	G IE NGZ
HĂM 1.0	H AW MZ
MỌ 1.0	M O
ĐUN 1.0	DD U NZ
GỌT 1.0	G O TC
XOAN 1.0	S W A NZ
KHÀN 1.0	KH A NZ
XỞ 1.0	S OW
TUẾ 1.0	T W EE
NÁU 1.0	N A UZ
KHUẤY 1.0	KH W AA IZ
XẺNG 1.0	S E NGZ
DIỄM 1.0	D IE MZ
BỐNG 1.0	B OO NGZ
NGƯƠI 1.0	NG WA IZ
BĨU 1.0	B I UZ
BỜI 1.0	B OW IZ
NƯƠNG 1.0	N WA NGZ
NHỌC 1.0	NH O KC
LƠI 1.0	L OW IZ
LẠP 1.0	L A PC
SÚ 1.0	S U
SỦA 1.0	S W A
OI 1.0	O IZ
NÔM 1.0	N OO MZ
LÉP 1.0	L E PC
TRUÂN 1.0	TR W AA NZ
VẮN 1.0	V AW NZ
LUẨN 1.0	L W AA NZ
QUỚI 1.0	K W OW IZ
PHÔ 1.0	PH OO
BẾ 1.0	B EE
RĨ 1.0	R I
KHOÁ 1.0	KH W A
BẤP 1.0	B AA PC
NẤNG 1.0	N AA NGZ
HÓM 1.0	H O MZ
HỈNH 1.0	H I NGZ
BỊA 1.0	B IE
ĐIỀM 1.0	DD IE MZ
PHẪN 1.0	PH AA NZ
NỘ 1.0	N OO
GƯỜM 1.0	G WA MZ
RỒ 1.0	R OO
CẶN 1.0	K AW NZ
LOANH 1.0	L W A NGZ
TÀ 1.0	T A
LỌ 1.0	L O
GIỎ 1.0	D O
NHÀNH 1.0	NH A NGZ
MỢ 1.0	M OW
NGẨNG 1.0	NG AA NGZ
KHÂM 1.0	KH AA MZ
BƯƠU 1.0	B WA UZ
NHÕM 1.0	NH O MZ
TẰM 1.0	T AW MZ
SỜN 1.0	S OW NZ
CHIÊN 1.0	CH IE NZ
VẦN 1.0	V AA NZ
XUẨN 1.0	S W AA NZ
TỒI 1.0	T OO IZ
LỐT 1.0	L OO TC
QUĨ 1.0	K W I
GIÊNG 1.0	G IE NGZ
Ù 1.0	U
HUÊ 1.0	H W EE
MÚT 1.0	M U TC
NÁ 1.0	N A
PHỊCH 1.0	PH I KC
VY 1.0	V I
HŨ 1.0	H U
CHẢO 1.0	CH A UZ
TÒI 1.0	T O IZ
RẶNG 1.0	R AW NGZ
LÁU 1.0	L A UZ
LIẾN 1.0	L IE NZ
MÁNH 1.0	M A NGZ
THẪN 1.0	TH AA NZ
CẲNG 1.0	K AW NGZ
CỘ 1.0	K OO
NGẢI 1.0	NG A IZ
SỎI 1.0	S O IZ
NGOÃN 1.0	NG W A NZ
VÙ 1.0	V U
SẢO 1.0	S A UZ
CÙI 1.0	K U IZ
PHỚI 1.0	PH OW IZ
NẤC 1.0	N AA KC
HỈ 1.0	H I
HỰU 1.0	H UW UZ
NHƯỠNG 1.0	NH WA NGZ
DẤP 1.0	D AA PC
GIẪM 1.0	D AA MZ
THŨNG 1.0	TH U NGZ
BỆN 1.0	B EE NZ
NỰC 1.0	N UW KC
NẠC 1.0	N A KC
QUẸO 1.0	K W E UZ
TOÁT 1.0	T W A TC
Ĩ 1.0	I
SẺN 1.0	S E NZ
ỨA 1.0	WA
MƯƠNG 1.0	M WA NGZ
NỒM 1.0	N OO MZ
LÚ 1.0	L U
GO 1.0	G O
NHỦ 1.0	NH U
CÚP 1.0	K U PC
RỢ 1.0	R OW
RỨT 1.0	R UW TC
OẠP 1.0	W A PC
LỂ 1.0	L EE
NGÔNG 1.0	NG OO NGZ
THOẢ 1.0	TH W A
LÚM 1.0	L U MZ
KHÁO 1.0	KH A UZ
GAI 1.0	G A IZ
DÒM 1.0	D O MZ
CHOANG 1.0	CH W A NGZ
CHIÊNG 1.0	CH IE NGZ
NHUỆ 1.0	NH W EE
RỎI 1.0	R O IZ
NHÍU 1.0	NH I UZ
GÀNG 1.0	G A NGZ
THỐ 1.0	TH OO
HẤU 1.0	H AA UZ
RƯỠI 1.0	R WA IZ
TRỆT 1.0	TR EE TC
MỖ 1.0	M OO
RÌA 1.0	R IE
TUÔNG 1.0	T UO NGZ
LOÉT 1.0	L W E TC
VÍA 1.0	V IE
QUẶN 1.0	K W AW NZ
GẮP 1.0	G AW PC
OAI 1.0	W A IZ
GIÔNG 1.0	D OO NGZ
TRƯỚNG 1.0	TR WA NGZ
GỎI 1.0	G O IZ
KÌNH 1.0	K I NGZ
OÁN 1.0	W A NZ
CHỎ 1.0	CH O
CÓT 1.0	K O TC
MẸO 1.0	M E UZ
NẮC 1.0	N AW KC
GHÌ 1.0	G I
RỘP 1.0	R OO PC
GIỞ 1.0	D OW
NHÕNG 1.0	NH O NGZ
LEM 1.0	L E MZ
HỤ 1.0	H U
ME 1.0	M E
NGHÈ 1.0	NG E
RƠ 1.0	R OW
LÁP 1.0	L A PC
MÀNH 1.0	M A NGZ
HẰN 1.0	H AW NZ
TRÙN 1.0	TR U NZ
HOÀ 1.0	H W A
THÍM 1.0	TH I MZ
DẬU 1.0	D AA UZ
BÒN 1.0	B O NZ
KHOÁNG 1.0	KH W A NGZ
BỎNG 1.0	B O NGZ
VÈ 1.0	V E
NHÁI 1.0	NH A IZ
GỪNG 1.0	G UW NGZ
NGỬA 1.0	NG WA
VÃN 1.0	V A NZ
PHẬP 1.0	PH AA PC
LỢT 1.0	L OW TC
HÃM 1.0	H A MZ
GIÒI 1.0	D O IZ
ĐỈA 1.0	DD IE
RÂY 1.0	R AA IZ
MIẾN 1.0	M IE NZ
MOI 1.0	M O IZ
GỌNG 1.0	G O NGZ
BỘN 1.0	B OO NZ
GĂNG 1.0	G AW NGZ
RUỒNG 1.0	R UO NGZ
YỂU 1.0	IE UZ
NGẠNH 1.0	NG A NGZ
NGHEN 1.0	NG E NZ
GẰM 1.0	G AW MZ
ỄNH 1.0	EE NGZ
NGẤM 1.0	NG AA MZ
LẺO 1.0	L E UZ
KHUẾCH 1.0	KH W EE KC
GẤC 1.0	G AA KC
CHĨNH 1.0	CH I NGZ
GIEN 1.0	D E NZ
SÙNG 1.0	S U NGZ
SỞI 1.0	S OW IZ
RÙNG 1.0	R U NGZ
NÀI 1.0	N A IZ
BẺ 1.0	B E
ĐỚT 1.0	DD OW TC
XƯỚC 1.0	S WA KC
BƯỚU 1.0	B WA UZ
BĨ 1.0	B I
NGỤY 1.0	NG W I
ĐÓT 1.0	DD O TC
CHỘT 1.0	CH OO TC
MỐNG 1.0	M OO NGZ
TẠNH 1.0	T A NGZ
RỤT 1.0	R U TC
RÈ 1.0	R E
KHEM 1.0	KH E MZ
KHẢN 1.0	KH A NZ
HÙ 1.0	H U
HONG 1.0	H O NGZ
HÁCH 1.0	H A KC
NẶN 1.0	N AW NZ
ỐI 1.0	OO IZ
NHẸN 1.0	NH E NZ
NHỌ 1.0	NH O
LỤY 1.0	L W I
THẮM 1.0	TH AW MZ
ĐẤNG 1.0	DD AA NGZ
CHẦN 1.0	CH AA NZ
TẨU 1.0	T AA UZ
BĂM 1.0	B AW MZ
PHIẾN 1.0	PH IE NZ
QUỆT 1.0	K W EE TC
BÍT 1.0	B I TC
RÔNG 1.0	R OO NGZ
DAY 1.0	D A IZ
KIẾT 1.0	K IE TC
DỤM 1.0	D U MZ
LỊ 1.0	L I
QUẺ 1.0	K W E
CHẶC 1.0	CH AW KC
ĐẦN 1.0	DD AA NZ
CHƯỜNG 1.0	CH WA NGZ
DƠ 1.0	D OW
BƠN 1.0	B OW NZ
NOÃN 1.0	N W A NZ
CỘM 1.0	K OO MZ
DỤI 1.0	D U IZ
CHÕ 1.0	CH O
LÙN 1.0	L U NZ
BẸN 1.0	B E NZ
NHỔ 1.0	NH OO
NHÍP 1.0	NH I PC
ƯỚM 1.0	WA MZ
THỚ 1.0	TH OW
SĂM 1.0	S AW MZ
NHỚT 1.0	NH OW TC
TẠC 1.0	T A KC
GẤM 1.0	G AA MZ
KHỨA 1.0	KH WA
DỘNG 1.0	D OO NGZ
ẢI 1.0	A IZ
SẨM 1.0	S AA MZ
KHAY 1.0	KH A IZ
SẤP 1.0	S AA PC
NỨA 1.0	N WA
BUỘT 1.0	B UO TC
HOÁN 1.0	H W A NZ
CHẾCH 1.0	CH EE KC
HƠ 1.0	H OW
NHỠ 1.0	NH OW
NOI 1.0	N O IZ
CAU 1.0	K A UZ
CHỪA 1.0	CH WA
HOAI 1.0	H W A IZ
LON 1.0	L O NZ
SẢI 1.0	S A IZ
TÚA 1.0	T W A
SẢ 1.0	S A
SỆ 1.0	S EE
TÙM 1.0	T U MZ
NHOI 1.0	NH O IZ
CHỤT 1.0	CH U TC
LIỆM 1.0	L IE MZ
ĐỰC 1.0	DD UW KC
HỮNG 1.0	H UW NGZ
HỜ 1.0	H OW
BUỒM 1.0	B UO MZ
TRỘI 1.0	TR OO IZ
CHẸT 1.0	CH E TC
BƯỚM 1.0	B WA MZ
KHÓM 1.0	KH O MZ
QUƠ 1.0	K W OW
RÒ 1.0	R O
BỤ 1.0	B U
BẪM 1.0	B AA MZ
HỦI 1.0	H U IZ
DỀN 1.0	D EE NZ
CHẠNG 1.0	CH A NGZ
KHÁU 1.0	KH A UZ
KHÊU 1.0	KH EE UZ
KHẢM 1.0	KH A MZ
SIN 1.0	S I NZ
BÔM 1.0	B OO MZ
VỰA 1.0	V WA
QUẮP 1.0	K W AW PC
BÒNG 1.0	B O NGZ
KHỬ 1.0	KH UW
NƠ 1.0	N OW
CHAU 1.0	CH A UZ
TRÓI 1.0	TR O IZ
LÓ 1.0	L O
HÕM 1.0	H O MZ
RÁ 1.0	R A
THAU 1.0	TH A UZ
CHỚM 1.0	CH OW MZ
XẤC 1.0	S AA KC
RẺO 1.0	R E UZ
ĐÀY 1.0	DD A IZ
SUÔNG 1.0	S UO NGZ
CỘC 1.0	K OO KC
RẬM 1.0	R AA MZ
SỈ 1.0	S I
NHỜI 1.0	NH OW IZ
GIẦU 1.0	D AA UZ
GIÃI 1.0	D A IZ
KENG 1.0	K E NGZ
SUÔN 1.0	S UO NZ
NHỘNG 1.0	NH OO NGZ
SIÊNG 1.0	S IE NGZ
XIÊN 1.0	S IE NZ
BÕ 1.0	B O
SẬM 1.0	S AA MZ
DIẾP 1.0	D IE PC
XÉN 1.0	S E NZ
TỊT 1.0	T I TC
DẺ 1.0	D E
CHOÁN 1.0	CH W A NZ
DE 1.0	D E
RỆP 1.0	R EE PC
ĐỪ 1.0	DD UW
MỚM 1.0	M OW MZ
CHÌA 1.0	CH IE
HỠI 1.0	H OW IZ
SỌC 1.0	S O KC
NGỐN 1.0	NG OO NZ
DƯỚNG 1.0	D WA NGZ
HÊ 1.0	H EE
NHÁP 1.0	NH A PC
GỜ 1.0	G OW
ĐỐP 1.0	DD OO PC
NỰNG 1.0	N UW NGZ
KHAM 1.0	KH A MZ
ĐÙN 1.0	DD U NZ
SỒNG 1.0	S OO NGZ
NÒI 1.0	N O IZ
VỐC 1.0	V OO KC
NHẨY 1.0	NH AA IZ
GÙI 1.0	G U IZ
QUỞ 1.0	K W OW
NẨY 1.0	N AA IZ
DÍU 1.0	D I UZ
HÒM 1.0	H O MZ
RÃO 1.0	R A UZ
RẠC 1.0	R A KC
HUÝCH 1.0	H W I KC
CẤN 1.0	K AA NZ
HANH 1.0	H A NGZ
HỆCH 1.0	H EE KC
XÒE 1.0	S W E
CHẤY 1.0	CH AA IZ
RĂM 1.0	R AW MZ
NỘM 1.0	N OO MZ
HỎN 1.0	H O NZ
BAI 1.0	B A IZ
RỖ 1.0	R OO
CHÂY 1.0	CH AA IZ
NGÁI 1.0	NG A IZ
CHÙNG 1.0	CH U NGZ
PHANG 1.0	PH A NGZ
KHẢNH 1.0	KH A NGZ
LẸO 1.0	L E UZ
HẤN 1.0	H AA NZ
THIÊU 1.0	TH IE UZ
NUỘT 1.0	N UO TC
RIỀNG 1.0	R IE NGZ
YẾT 1.0	IE TC
MÍM 1.0	M I MZ
NGẠCH 1.0	NG A KC
BƯƠN 1.0	B WA NZ
BẲN 1.0	B AW NZ
HOE 1.0	H W E
GỘT 1.0	G OO TC
NHỨT 1.0	NH UW TC
NHÁM 1.0	NH A MZ
ĐỌT 1.0	DD O TC
HÍP 1.0	H I PC
NHẼ 1.0	NH E
HÒE 1.0	H W E
KHẨY 1.0	KH AA IZ
NẢI 1.0	N A IZ
PHÙN 1.0	PH U NZ
HỜI 1.0	H OW IZ
NẤP 1.0	N AA PC
HÍCH 1.0	H I KC
RÁM 1.0	R A MZ
BẼ 1.0	B E
GỞ 1.0	G OW
NHẮNG 1.0	NH AW NGZ
NGẦU 1.0	NG AA UZ
CHÙN 1.0	CH U NZ
XÉO 1.0	S E UZ
ÚC 1.0	U KC
RỚ 1.0	R OW
RƯỜM 1.0	R WA MZ
CÀN 1.0	K A NZ
HÙM 1.0	H U MZ
THIẾN 1.0	TH IE NZ
QUẶNG 1.0	K W AW NGZ
PHÔNG 1.0	PH OO NGZ
KHỂNH 1.0	KH EE NGZ
Ị 1.0	I
THIU 1.0	TH I UZ
RIM 1.0	R I MZ
NÃ 1.0	N A
PHŨ 1.0	PH U
HÒNG 1.0	H O NGZ
BẬU 1.0	B AA UZ
RÍCH 1.0	R I KC
LỤI 1.0	L U IZ
OẶT 1.0	W AW TC
TRƯỜN 1.0	TR WA NZ
NÁI 1.0	N A IZ
NẠNG 1.0	N A NGZ
Ó 1.0	O
KHÙNG 1.0	KH U NGZ
KHỤC 1.0	KH U KC
TOI 1.0	T O IZ
NGÒM 1.0	NG O MZ
GIONG 1.0	D O NGZ
GIO 1.0	D O
GIOI 1.0	D O IZ
KHOÁY 1.0	KH W A IZ
NU 1.0	N U
GUỒNG 1.0	G UO NGZ
ĐƯỢM 1.0	DD WA MZ
KE 1.0	K E
NGHỊT 1.0	NG I TC
MÚC 1.0	M U KC
NHỬ 1.0	NH UW
PHAU 1.0	PH A UZ
NHẠN 1.0	NH A NZ
OÁT 1.0	W A TC
PHIN 1.0	PH I NZ
GIẬU 1.0	D AA UZ
NHÓN 1.0	NH O NZ
HIẾNG 1.0	H IE NGZ
KHĂNG 1.0	KH AW NGZ
ƯƠN 1.0	WA NZ
THẸN 1.0	TH E NZ
QUẶP 1.0	K W AW PC
NHŨN 1.0	NH U NZ
RÃNH 1.0	R A NGZ
KHÌ 1.0	KH I
ỰC 1.0	UW KC
LỌN 1.0	L O NZ
CHÒI 1.0	CH O IZ
ĐẴN 1.0	DD AW NZ
ĐĨNH 1.0	DD I NGZ
PHẮT 1.0	PH AW TC
ẸO 1.0	E UZ
NE 1.0	N E
NẸT 1.0	N E TC
NÒNG 1.0	N O NGZ
BỚ 1.0	B OW
LOANG 1.0	L W A NGZ
CHẶP 1.0	CH AW PC
KHIỄNG 1.0	KH IE NGZ
TẸT 1.0	T E TC
ĐỢ 1.0	DD OW
RẶN 1.0	R AW NZ
MUỘI 1.0	M UO IZ
BEO 1.0	B E UZ
RỨA 1.0	R WA
THẸO 1.0	TH E UZ
RỦN 1.0	R U NZ
PHỐP 1.0	PH OO PC
GẬM 1.0	G AA MZ
NHỤT 1.0	NH U TC
NGẤN 1.0	NG AA NZ
SÌNH 1.0	S I NGZ
DÒN 1.0	D O NZ
MỨA 1.0	M WA
NHẬY 1.0	NH AA IZ
DƯỢNG 1.0	D WA NGZ
TRÉT 1.0	TR E TC
CỨT 1.0	K UW TC
NHỚN 1.0	NH OW NZ
CHUN 1.0	CH U NZ
HÓP 1.0	H O PC
ĐĂM 1.0	DD AW MZ
RẮP 1.0	R AW PC
TỌT 1.0	T O TC
HIỀM 1.0	H IE MZ
NHỂ 1.0	NH EE
RỞM 1.0	R OW MZ
BÔ 1.0	B OO
BẤN 1.0	B AA NZ
KHẤC 1.0	KH AA KC
TẬU 1.0	T AA UZ
MUI 1.0	M U IZ
NGHẼO 1.0	NG E UZ
QUĂN 1.0	K W AW NZ
BỘP 1.0	B OO PC
KÉ 1.0	K E
LOE 1.0	L W E
NHUỐC 1.0	NH UO KC
CHOAI 1.0	CH W A IZ
KHAU 1.0	KH A UZ
NGHÉT 1.0	NG E TC
GỘC 1.0	G OO KC
BỤM 1.0	B U MZ
HỬ 1.0	H UW
LỰ 1.0	L UW
VÀM 1.0	V A MZ
ĐỚP 1.0	DD OW PC
BẨY 1.0	B AA IZ
BỤP 1.0	B U PC
BÌM 1.0	B I MZ
BỊP 1.0	B I PC
NỆN 1.0	N EE NZ
KHƯỚU 1.0	KH WA UZ
NGỦM 1.0	NG U MZ
SỞN 1.0	S OW NZ
HỬNG 1.0	H UW NGZ
ÓT 1.0	O TC
QUẨY 1.0	K W AA IZ
DIỄU 1.0	D IE UZ
KHƯỚT 1.0	KH WA TC
KHUI 1.0	KH U IZ
CHÓP 1.0	CH O PC
SƯỢNG 1.0	S WA NGZ
NGÂU 1.0	NG AA UZ
CHÌNH 1.0	CH I NGZ
SEO 1.0	S E UZ
SẠ 1.0	S A
SỘP 1.0	S OO PC
CHÍP 1.0	CH I PC
SẤN 1.0	S AA NZ
CÙM 1.0	K U MZ
QUẠ 1.0	K W A
SÉM 1.0	S E MZ
NHỢ 1.0	NH OW
